sample_code;Code;FW..g.;DW..g.;Bark....;Water.content..g.;Water.percentage;Plot;SubPlot;Class;Species;DiamClass;sample_density;Ntotal (g/100g);Ctotal (g/100g);Al (mg/Kg);As (mg/Kg);Be (mg/Kg);Bi (mg/Kg);B (mg/Kg);Ca (g/100g);Cd (mg/Kg);Co (mg/Kg);Cr (mg/Kg);Cu (mg/Kg);Fe (mg/Kg);K (g/100g);La (mg/Kg);Li (mg/Kg);Mg (g/100g);Mn (mg/Kg);Mo (mg/Kg);Na (g/100g);Ni (mg/Kg);Pb (mg/Kg);P (g/100g);Rb (mg/Kg);Sb (mg/Kg);Se (mg/Kg);Si (mg/Kg);S (g/100g);Sr (mg/Kg);Ti (mg/Kg);Tl (mg/Kg);V (mg/Kg);Zn (mg/Kg)
121;15AA1;1330.4;882.69;100;447.71;33.65228503;1;5;1;AA;25;495.4377719;0.0399;48.06;7.182790472;<0,01;<0,01;<0,01;<0,01;0.066346621;3.65E-02;3.65E-02;0.157997083;0.814292659;3.585318425;0.198833252;<0,01;0.328147788;0.018740885;25.93582888;<0,01;<0,01;0.182304327;0.218765192;0.0016772;4.484686437;<0,01;<0,01;20.07778318;0.005461838;3.998541565;0.607681089;<0,01;<0,01;3.913466213
134;31AA1;1337.3;720.6;85;616.7;46.11530696;3;1;1;AA;25;402.5674099;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
146;32AA1;1328;813.15;100;514.85;38.7688253;3;2;1;AA;25;415.4586882;0.0521;48.71;8.865929841;0.144161461;<0,01;<0,01;<0,01;0.070975493;7.21E-02;4.81E-02;0.204228736;1.72993753;3.988467083;0.113671312;<0,01;0.192215281;0.019509851;23.12590101;<0,01;<0,01;0.144161461;0.348390197;0.000528592;2.126381547;<0,01;<0,01;9.082172033;0.005496156;4.925516579;0.576645843;<0,01;<0,01;2.246516098
158;33AA1;1967;932.14;97;1034.86;52.61108287;3;3;1;AA;25;476.2536575;0.1207;46.91;5.081390233;0.219973603;<0,01;<0,01;<0,01;0.044632644;9.90E-02;5.50E-02;0.362956445;0.68191817;12.29652442;1.046744391;<0,01;0.230972283;0.035327761;15.77210735;<0,01;<0,01;0.68191817;6.60E-02;0.001399032;18.11482622;<0,01;<0,01;13.31940167;0.005361857;3.541575011;0.626924769;<0,01;<0,01;3.057633084
170;34AA1;996;628.85;100;367.15;36.8624498;3;4;1;AA;25;366.6018121;0.09985;47.677;5.966307908;9.36E-02;<0,01;<0,01;<0,01;0.064623304;5.85E-02;<0,01;7.02E-02;1.169864296;16.06223678;0.05232803;<0,01;0.292466074;0.015781469;22.62517548;<0,01;8.31E-05;<0,01;0.386055218;0.000911324;0.912494151;<0,01;<0,01;11.83902667;0.004466542;4.293401965;0.608329434;<0,01;<0,01;2.795975667
182;35AA1;1269.1;777.97;99;491.13;38.69907809;3;5;1;AA;25;440.7895019;0.2139;49.05;6.170937399;<0,01;<0,01;<0,01;<0,01;0.062917613;4.87E-02;<0,01;4.05E-02;0.729808628;2.773272786;0.078567953;<0,01;0.121634771;0.01629095;21.03470645;<0,01;9.24E-05;<0,01;0.348686344;0.00107363;1.346091469;<0,01;<0,01;7.565682777;0.005267596;4.451832631;0.364904314;<0,01;<0,01;2.359714564
324;61AA1;1799.5;1011.73;95;787.77;43.77716032;6;1;1;AA;25;436.3070144;0.0972;48;7.587011885;0.191001698;<0,01;<0,01;<0,01;0.085165535;0.350169779;<0,01;3.18E-02;1.305178268;6.356112054;0.093877334;<0,01;0.297113752;0.014887521;37.74405772;<0,01;<0,01;0.933786078;0.180390492;0.001277589;1.941850594;<0,01;<0,01;7.205008489;0.006021859;5.825551783;0.891341256;<0,01;<0,01;7.544567063
342;62AA1;1871.6;1011.02;97;860.58;45.98097884;6;2;1;AA;25;432.434374;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
360;63AA1;2295.4;1335.81;99;959.59;41.80491418;6;3;1;AA;25;465.7505746;0.169;48.15;7.838411107;3.86E-02;<0,01;<0,01;<0,01;0.069976861;0.134978789;<0,01;0.125337447;1.195526417;3.85653683;0.157346703;<0,01;0.173544157;0.015686464;31.75858079;<0,01;<0,01;6.75E-02;5.78E-02;0.001478982;3.06594678;<0,01;<0,01;15.94677979;0.005885075;4.714616275;0.318164288;<0,01;<0,01;3.924026224
378;64AA1;1361.6;745.51;94;616.09;45.24750294;6;4;1;AA;25;428.439385;0.14782;47.983;30.60693642;<0,01;<0,01;<0,01;<0,01;0.075597303;0.144508671;1.93E-02;2.543352601;1.175337187;103.0828516;0.09561657;<0,01;0.202312139;0.012976879;30.49132948;<0,01;1.40E-03;0.240847784;0.240847784;0.001358382;1.445086705;<0,01;<0,01;61.25240848;0.005473988;5.674373796;24.238921;<0,01;<0,01;4.132947977
396;65AA1;2485.3;1349.7;97;1135.6;45.69267292;6;5;1;AA;25;401.0361799;0.0828;49.49;20.12493876;<0,01;<0,01;<0,01;<0,01;0.078454189;0.134737874;2.45E-02;0.600195982;1.188143067;13.22880941;0.223174914;<0,01;0.293973542;0.017368937;32.17785399;<0,01;<0,01;0.232729054;<0,01;0.002522048;4.5933366;<0,01;<0,01;28.34394904;0.006134248;5.781479667;7.655561;<0,01;<0,01;3.650171485
2;11AA2;1519.4;918.18;98;601.22;39.56956693;1;1;2;AA;25;359.573421;0.1732;47.14;5.108958838;<0,01;<0,01;<0,01;<0,01;0.050460048;3.63E-02;2.42E-02;6.05E-02;0.895883777;3.510895884;0.121549637;<0,01;0.133171913;0.011843826;18.57142857;<0,01;<0,01;0.665859564;0.121065375;0.000773608;2.384987893;<0,01;<0,01;14.62469734;0.004789346;3.062953995;0.786924939;<0,01;<0,01;3.426150121
38;12AA2;1686.9;1030.61;95;656.29;38.90509218;1;2;2;AA;25;421.5929758;0.1231;48.91;4.4599018;0.102291326;<0,01;<0,01;<0,01;0.054081424;4.09E-02;1.02E-02;0.276186579;0.910392799;5.083878887;0.119169394;<0,01;0.112520458;0.012121522;17.76800327;<0,01;<0,01;0.153436989;0.112520458;0.00095847;2.454991817;<0,01;<0,01;7.518412439;0.00492635;3.26309329;0.981996727;<0,01;<0,01;3.293780687
74;13AA2;1323.5;795.13;96;528.37;39.92217605;1;3;2;AA;25;375.3762648;0.1463;48.93;9.225352113;<0,01;<0,01;<0,01;<0,01;0.051643192;<0,01;<0,01;<0,01;0.751173709;4.166666667;0.142605634;<0,01;<0,01;0.011971831;20.24647887;<0,01;2.49E-04;<0,01;2.35E-02;0.000173709;2.394366197;<0,01;<0,01;15.95070423;0.005778169;3.192488263;1.866197183;<0,01;<0,01;3.227699531
110;14AA2;1086.1;679.01;96;407.09;37.48181567;1;4;2;AA;25;359.6972194;0.1851;48.44;6.091811414;<0,01;<0,01;<0,01;<0,01;0.03983871;3.72E-02;<0,01;<0,01;0.794044665;3.858560794;0.077679901;<0,01;0.223325062;0.008526055;16.40198511;<0,01;<0,01;7.44E-02;0.124069479;0.000648883;1.538461538;<0,01;<0,01;5.272952854;0.004468983;2.642679901;0.744416873;<0,01;<0,01;2.803970223
122;15AA2;1265.2;765.03;100;500.17;39.53288018;1;5;2;AA;25;348.3022581;0.2175;49.93;7.235890014;0.1447178;<0,01;<0,01;<0,01;0.054739508;4.82E-02;<0,01;9.65E-02;1.073323685;3.42498794;0.138205499;<0,01;0.337674867;0.012252774;20.16401351;<0,01;<0,01;0.1447178;0.10853835;0.000757356;2.689339122;<0,01;<0,01;22.20212253;0.005170043;3.49734684;0.735648818;<0,01;<0,01;2.978774723
135;31AA2;1341.3;784.64;98;556.66;41.50152837;3;1;2;AA;25;376.0700077;0.1496;50.17;36.79184549;0.107296137;<0,01;<0,01;<0,01;0.077650215;5.36E-02;1.07E-02;0.268240343;1.427038627;23.48712446;0.047199571;<0,01;0.214592275;0.017124464;29.56008584;<0,01;<0,01;0.214592275;0.193133047;0.002015021;0.686695279;<0,01;<0,01;281.4377682;0.007607296;6.652360515;7.521459227;<0,01;<0,01;4.034334764
147;32AA2;1352.2;838.88;96;513.32;37.96183996;3;2;2;AA;25;449.4971759;0.1521;48.47;38.45872008;0.122129946;<0,01;<0,01;<0,01;0.065315095;4.89E-02;<0,01;0.769418661;1.074743527;48.69320957;0.055715681;<0,01;0.232046898;0.017098192;28.46849047;<0,01;7.11E-04;0.146555936;0.293111871;0.001529067;0.842696629;<0,01;<0,01;73.68099658;0.0053383;5.349291646;6.656082071;<0,01;<0,01;5.398143625
159;33AA2;1699;1006.62;98;692.38;40.75220718;3;3;2;AA;25;492.0215183;0.117;47.79;7.258858268;0.110728346;<0,01;<0,01;<0,01;0.070091043;6.15E-02;<0,01;9.84E-02;0.984251969;4.958169291;0.063804134;<0,01;0.196850394;0.017605807;28.97391732;<0,01;3.10E-04;8.61E-02;0.196850394;0.000732037;1.008858268;<0,01;<0,01;12.26624016;0.006309055;5.684055118;0.664370079;<0,01;<0,01;4.244586614
171;34AA2;1034.75;634.76;99;399.99;38.65571394;3;4;2;AA;25;373.6138745;0.118;48.69;22.07916071;0.11921793;<0,01;<0,01;<0,01;0.053540773;4.77E-02;<0,01;5.96E-02;0.798760134;3.588459704;0.040641392;<0,01;0.309966619;0.014389604;22.36528374;<0,01;6.28E-03;0.154983309;0.131139723;0.001049118;0.774916547;<0,01;<0,01;97.12684788;0.005376729;5.054840248;0.453028135;<0,01;<0,01;32.1888412
183;35AA2;979;647.27;92;331.73;33.8845761;3;5;2;AA;25;406.9619586;0.2018;48.42;23.20289239;0.127605274;<0,01;<0,01;<0,01;0.107294768;0.127605274;<0,01;0.191407912;1.435559336;7.805189281;0.064887282;<0,01;8.51E-02;0.022065079;61.43130583;<0,01;8.22E-04;0.191407912;0.244576776;0.004168439;0.808166738;<0,01;<0,01;19.58740961;0.00871863;7.624415142;1.509995746;<0,01;<0,01;7.720119098
