Number;DW;E_W;Device_w;Eth_percentage;Total volume displaced;Ethanol density (g/cm3 20ºC;volume of the sample;Density_g_cm3;Density_kg_m3
74;105.927;221.41;25.03;96;196.38;0.805;243.9503106;0.434215475;434.2154751
175;162.385;219.3;25.03;96;194.27;0.805;241.3291925;0.672877567;672.8775673
343;145.883;217.26;25.03;96;192.23;0.805;238.7950311;0.610913047;610.9130469
365;99.296;121.15;25.03;96;96.12;0.805;119.4037267;0.831598835;831.5988348
378;108.885;226.23;25.03;96;201.2;0.805;249.9378882;0.435648236;435.6482356
77;208.439;237.21;25.03;96;212.18;0.805;263.5776398;0.790806839;790.8068385
136;64.671;158.21;27.32;96;130.89;0.805;162.5962733;0.397739743;397.7397433
382;194.313;236.87;25.03;96;211.84;0.805;263.1552795;0.738396738;738.3967381
401;34.241;102.91;25.03;96;77.88;0.805;96.74534161;0.353929186;353.9291859
1;137.929;217.32;25.03;96;192.29;0.805;238.8695652;0.577423917;577.423917
147;136.647;265.12;25.03;96;240.09;0.805;298.2484472;0.458165001;458.1650006
138;178.546;191.23;25.03;96;166.2;0.805;206.4596273;0.864798616;864.7986161
125;142.261;186.03;25.03;96;161;0.805;200;0.711305;711.305
114;86.467;94.84;25.03;96;69.81;0.805;86.72049689;0.997076851;997.0768515
360;149.93;262.43;25.03;96;237.4;0.805;294.9068323;0.508397852;508.3978517
159;144.08;287.94;25.03;96;262.91;0.805;326.5962733;0.441156289;441.1562892
9;69.737;166.92;25.03;96;141.89;0.805;176.2608696;0.395646522;395.646522
344;45.913;79.29;25.03;96;54.26;0.805;67.40372671;0.681164117;681.1641172
111;101.736;206.81;25.03;96;181.78;0.805;225.8136646;0.450530751;450.5307515
326;82.172;136.63;25.03;96;111.6;0.805;138.6335404;0.592728136;592.7281362
380;113.164;146.09;25.03;96;121.06;0.805;150.3850932;0.752494796;752.494796
379;183.325;279.98;25.03;96;254.95;0.805;316.7080745;0.578845362;578.8453618
183;119.329;525.38;25.03;96;500.35;0.805;621.552795;0.1919853;191.9853003
