Number;DW;E_W;Device_w;Eth_percentage;Total volume displaced;Ethanol density (g/cm3 20ºC;volume of the sample;Density_g_cm3;Density_kg_m3
310;4.813;6.58;0.99;96;5.59;0.805;6.944099379;0.69310644;693.1064401
210;5.796;7.52;0.99;96;6.53;0.805;8.111801242;0.714514548;714.5145482
501;1.741;2.9;1.08;96;1.82;0.805;2.260869565;0.770057692;770.0576923
194;1.836;3.05;1.08;96;1.97;0.805;2.447204969;0.750243655;750.2436548
323;1.834;3.14;1.08;96;2.06;0.805;2.559006211;0.716684466;716.684466
535;4.672;6.34;1.08;96;5.26;0.805;6.534161491;0.715011407;715.0114068
321;4.357;5.61;1.08;96;4.53;0.805;5.627329193;0.774257174;774.2571744
322;2.381;4.04;1.08;96;2.96;0.805;3.677018634;0.647535473;647.535473
313;4.571;6.32;1.08;96;5.24;0.805;6.50931677;0.702224237;702.2242366
508;7.073;9.03;1.08;96;7.95;0.805;9.875776398;0.716196855;716.1968553
224;4.419;5.97;1.08;96;4.89;0.805;6.074534161;0.72746319;727.4631902
536;5.03;6.82;1.08;96;5.74;0.805;7.130434783;0.705426829;705.4268293
487;3.734;5.03;1.11;96;3.92;0.805;4.869565217;0.766803571;766.8035714
229;2.022;3.83;1.11;96;2.72;0.805;3.378881988;0.598422794;598.4227941
502;3.457;5.16;1.11;96;4.05;0.805;5.031055901;0.687132099;687.1320988
228;4.77;6.89;1.11;96;5.78;0.805;7.180124224;0.66433391;664.33391
320;1.604;3.85;1.11;96;2.74;0.805;3.403726708;0.471248175;471.2481752
195;2.772;4.32;1.11;96;3.21;0.805;3.98757764;0.695158879;695.1588785
514;4.75;7.65;1.11;96;6.54;0.805;8.124223602;0.584671254;584.6712538
314;4.822;6.29;1.11;96;5.18;0.805;6.434782609;0.749364865;749.3648649
212;3.429;5.19;1.11;96;4.08;0.805;5.068322981;0.676555147;676.5551471
515;2.35;4.18;1.11;96;3.07;0.805;3.813664596;0.616205212;616.2052117
505;2.45;3.99;1.11;96;2.88;0.805;3.577639752;0.684809028;684.8090278
542;2.396;3.97;1.11;96;2.86;0.805;3.552795031;0.674398601;674.3986014
484;3.894;4.58;0.71;96;3.87;0.805;4.807453416;0.809992248;809.9922481
72;6.682;8.15;0.71;96;7.44;0.805;9.242236025;0.722985215;722.9852151
213;1.583;2.55;0.71;96;1.84;0.805;2.285714286;0.6925625;692.5625
598;2.493;4.12;0.71;96;3.41;0.805;4.236024845;0.58852346;588.5234604
800;3.777;5.24;0.71;96;4.53;0.805;5.627329193;0.671188742;671.1887417
312;5.661;5.9;0.71;96;5.19;0.805;6.447204969;0.878054913;878.0549133
222;4.145;5.74;0.71;96;5.03;0.805;6.248447205;0.663364811;663.3648111
240;3.79;5.23;0.71;96;4.52;0.805;5.614906832;0.674988938;674.9889381
198;4.916;6.08;0.71;96;5.37;0.805;6.670807453;0.736942272;736.9422719
269;3.94;5.43;0.71;96;4.72;0.805;5.863354037;0.671970339;671.970339
290;2.201;3.56;0.94;96;2.62;0.805;3.254658385;0.67626145;676.2614504
268;1.949;3.21;0.94;96;2.27;0.805;2.819875776;0.691165198;691.1651982
454;2.511;2.57;0.94;96;1.63;0.805;2.02484472;1.240095092;1240.095092
214;1.508;2.7;0.94;96;1.76;0.805;2.186335404;0.689738636;689.7386364
255;4.54;6.25;0.94;96;5.31;0.805;6.596273292;0.68826742;688.26742
319;4.702;6.25;0.94;96;5.31;0.805;6.596273292;0.712826742;712.826742
226;9.012;9.45;0.94;96;8.51;0.805;10.57142857;0.852486486;852.4864865
242;2.483;4.29;0.94;96;3.35;0.805;4.161490683;0.596661194;596.661194
588;6.008;10.78;1.99;96;8.79;0.805;10.91925466;0.550220705;550.2207053
241;3.335;8.09;1.99;96;6.1;0.805;7.577639752;0.440110656;440.1106557
65;5.345;8.03;1.99;96;6.04;0.805;7.50310559;0.712371689;712.3716887
66;4.524;;1.99;96;-1.99;0.805;;;
53;;;1.99;96;-1.99;0.805;;;
456;2.077;4.34;1.99;96;2.35;0.805;2.919254658;0.711482979;711.4829787
589;1.409;5.08;1.99;96;3.09;0.805;3.838509317;0.367069579;367.0695793
480;2.939;5.42;1.99;96;3.43;0.805;4.260869565;0.689765306;689.7653061
246;2.158;4.89;1.99;96;2.9;0.805;3.602484472;0.599031034;599.0310345
233;4.067;7.3;1.99;96;5.31;0.805;6.596273292;0.616560264;616.5602637
97;3.651;6.29;1.99;96;4.3;0.805;5.341614907;0.683501163;683.5011628
506;3.094;5.47;1.99;96;3.48;0.805;4.322981366;0.71570977;715.7097701
516;2.697;4.82;2.12;96;2.7;0.805;3.354037267;0.804105556;804.1055556
16;2.064;4.66;2.12;96;2.54;0.805;3.155279503;0.654141732;654.1417323
518;2.119;4.72;2.12;96;2.6;0.805;3.229813665;0.656075;656.075
96;1.576;4.04;2.12;96;1.92;0.805;2.385093168;0.660770833;660.7708333
261;2.947;5.88;2.12;96;3.76;0.805;4.670807453;0.63094016;630.9401596
265;5.062;8.08;2.12;96;5.96;0.805;7.403726708;0.683709732;683.7097315
32;2.645;5.13;2.12;96;3.01;0.805;3.739130435;0.707383721;707.3837209
31;1.661;3.61;2.12;96;1.49;0.805;1.850931677;0.897385906;897.385906
24;2.579;4.99;2.12;96;2.87;0.805;3.565217391;0.723378049;723.3780488
526;2.005;3.73;2.12;96;1.61;0.805;2;1.0025;1002.5
521;3.415;6.54;2.12;96;4.42;0.805;5.49068323;0.62196267;621.9626697
227;2.945;7.68;2.12;96;5.56;0.805;6.906832298;0.426389388;426.3893885
248;4.176;6.91;2.12;96;4.79;0.805;5.950310559;0.701812109;701.8121086
67;2.172;4.62;2.12;96;2.5;0.805;3.105590062;0.699384;699.384
68;2.642;5.03;2.12;96;2.91;0.805;3.614906832;0.730862543;730.862543
298;2.5;5.11;2.12;96;2.99;0.805;3.714285714;0.673076923;673.0769231
275;2.098;4.81;2.12;96;2.69;0.805;3.341614907;0.627840149;627.8401487
69;2.753;5.19;2.12;96;3.07;0.805;3.813664596;0.72187785;721.8778502
256;2.726;5.76;2.12;96;3.64;0.805;4.52173913;0.602865385;602.8653846
550;3.573;6.01;2.2;96;3.81;0.805;4.732919255;0.754925197;754.9251969
578;7.013;11.08;2.2;96;8.88;0.805;11.0310559;0.635750563;635.7505631
299;2.5;5.96;2.2;96;3.76;0.805;4.670807453;0.535239362;535.2393617
236;3.135;4.93;2.2;96;2.73;0.805;3.391304348;0.924423077;924.4230769
234;1.347;4.19;2.2;96;1.99;0.805;2.472049689;0.54489196;544.8919598
449;1.935;4.76;2.2;96;2.56;0.805;3.180124224;0.608466797;608.4667969
17;2.7;5.98;2.2;96;3.78;0.805;4.695652174;0.575;575
585;3.43;6.22;2.2;96;4.02;0.805;4.99378882;0.686853234;686.8532338
590;3.807;6.61;2.2;96;4.41;0.805;5.47826087;0.694928571;694.9285714
266;2.775;5.36;2.2;96;3.16;0.805;3.925465839;0.706922468;706.9224684
28;2.569;5.13;2.2;96;2.93;0.805;3.639751553;0.705817406;705.8174061
55;2.65;5.84;2.2;96;3.64;0.805;4.52173913;0.586057692;586.0576923
551;2.999;4.84;2.2;96;2.64;0.805;3.279503106;0.914467803;914.467803
26;2.702;5.67;2.2;96;3.47;0.805;4.310559006;0.626832853;626.832853
295;2.56;5.99;2.2;96;3.79;0.805;4.708074534;0.543746702;543.7467018
29;4.457;7.33;2.2;96;5.13;0.805;6.372670807;0.699392788;699.3927875
599;3.701;6.64;2.2;96;4.44;0.805;5.51552795;0.67101464;671.0146396
56;4.318;5.11;2.2;96;2.91;0.805;3.614906832;1.194498282;1194.498282
527;2.861;5.95;2.2;96;3.75;0.805;4.658385093;0.614161333;614.1613333
525;2.017;4.49;2.2;96;2.29;0.805;2.844720497;0.709032751;709.0327511
583;3.225;6.51;2.2;96;4.31;0.805;5.354037267;0.602349188;602.3491879
94;3.701;6.25;2.35;96;3.9;0.805;4.844720497;0.763924359;763.924359
57;2.35;4.72;2.35;96;2.37;0.805;2.944099379;0.798206751;798.2067511
302;1.814;4.51;2.35;96;2.16;0.805;2.683229814;0.676050926;676.0509259
250;1.625;4.22;2.35;96;1.87;0.805;2.322981366;0.699532086;699.5320856
54;2.037;4.72;2.35;96;2.37;0.805;2.944099379;0.691892405;691.8924051
204;2.033;4.55;2.35;96;2.2;0.805;2.732919255;0.743893182;743.8931818
208;1.691;4.39;2.35;96;2.04;0.805;2.534161491;0.667281863;667.2818627
201;1.621;4.24;2.35;96;1.89;0.805;2.347826087;0.690425926;690.4259259
277;0.962;3.38;2.35;96;1.03;0.805;1.279503106;0.751854369;751.8543689
276;2.766;5.46;2.24;96;3.22;0.805;4;0.6915;691.5
52;1.564;4.24;2.24;96;2;0.805;2.48447205;0.62951;629.51
504;2.37;4.96;2.24;96;2.72;0.805;3.378881988;0.701415441;701.4154412
50;1.219;3.86;2.24;96;1.62;0.805;2.01242236;0.605737654;605.7376543
468;2.371;5.12;2.24;96;2.88;0.805;3.577639752;0.662727431;662.7274306
278;2.139;4.66;2.24;96;2.42;0.805;3.00621118;0.71152686;711.5268595
483;3.013;5.57;2.24;96;3.33;0.805;4.136645963;0.728367868;728.3678679
482;3.458;5.91;2.24;96;3.67;0.805;4.559006211;0.758498638;758.4986376
561;8.255;11.23;2.24;96;8.99;0.805;11.16770186;0.739185206;739.1852058
95;4.261;7.15;2.24;96;4.91;0.805;6.099378882;0.698595723;698.595723
21;2.941;5.59;2.24;96;3.35;0.805;4.161490683;0.70671791;706.7179104
282;1.487;4.14;2.24;96;1.9;0.805;2.360248447;0.630018421;630.0184211
500;4.002;6.53;2.24;96;4.29;0.805;5.329192547;0.750958042;750.958042
453;2.047;4.74;2.24;96;2.5;0.805;3.105590062;0.659134;659.134
263;3.442;5.58;2.25;96;3.33;0.805;4.136645963;0.832075075;832.0750751
259;2.672;5.79;2.25;96;3.54;0.805;4.397515528;0.607615819;607.6158192
258;1.529;4.42;2.25;96;2.17;0.805;2.695652174;0.567209677;567.2096774
216;1.995;4;2.25;96;1.75;0.805;2.173913043;0.9177;917.7
217;2.026;4.59;2.25;96;2.34;0.805;2.906832298;0.696978632;696.9786325
243;2.78;5.44;2.25;96;3.19;0.805;3.962732919;0.70153605;701.5360502
563;3.58;7.02;2.25;96;4.77;0.805;5.925465839;0.604171908;604.1719078
221;2.667;4.93;2.25;96;2.68;0.805;3.329192547;0.801095149;801.0951493
305;2.376;5.29;2.25;96;3.04;0.805;3.776397516;0.629171053;629.1710526
311;1.244;3.57;2.25;96;1.32;0.805;1.639751553;0.758651515;758.6515152
538;3.509;6.08;2.25;96;3.83;0.805;4.757763975;0.737531332;737.5313316
537;2.855;5.45;2.25;96;3.2;0.805;3.97515528;0.718210938;718.2109375
513;2.303;4.970;2.36;98;2.610;0.805;3.242236025;0.710312261;710.3122605
503;1.484;3.890;2.36;98;1.530;0.805;1.900621118;0.780797386;780.7973856
238;3.170;6.000;2.36;98;3.640;0.805;4.52173913;0.701057692;701.0576923
215;2.395;4.630;2.36;98;2.270;0.805;2.819875776;0.849328194;849.3281938
245;3.315;5.550;2.36;98;3.190;0.805;3.962732919;0.836543887;836.5438871
301;2.153;5.920;2.36;98;3.560;0.805;4.422360248;0.486844101;486.8441011
199;2.030;5.940;2.36;98;3.580;0.805;4.447204969;0.45646648;456.4664804
274;2.349;5.650;2.36;98;3.290;0.805;4.086956522;0.574755319;574.7553191
450;1.893;4.800;2.36;98;2.440;0.805;3.031055901;0.624534836;624.5348361
