"","Class","Bark(%)_mean","Waterpercentage_mean","T3_mean","Soil_moist_mean","RespCorrectedArea_mean","Bark(%)_sd","Waterpercentage_sd","T3_sd","Soil_moist_sd","RespCorrectedArea_sd","Bark(%)_n","Waterpercentage_n","T3_n","Soil_moist_n","RespCorrectedArea_n"
"1",1,96.7380952380952,40.4424829915727,21.9330357142857,2253.7619047619,55.4899262530461,3.96361207406014,6.24722718870466,1.16856639495798,376.034301077079,68.8788152935388,42,42,42,42,42
"2",2,96.7727272727273,38.7062104182825,21.8821022727273,2251.59090909091,45.6559948848668,1.8535150310698,2.18494755970165,1.55268521562869,378.338369420679,50.166408226614,44,44,44,44,44
"3",4,78.8139534883721,51.8652763430639,21.8880813953488,2284.6511627907,45.3270196957527,14.3680462501136,9.62873130506972,1.17637000136939,382.377517502628,39.3045425940446,43,43,43,43,43
