"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","Code_sens","sensornumber","Serial","Plot","Subplot"
"1",1,"27/07/2021","0:00","27-7-21 0:00",4,14.75,17.125,19.75,2645,202,0,"94206486",11,"TMS-94206486",1,"2"
"2",2,"27/07/2021","0:15","27-7-21 0:15",4,14.75,17.125,19.8125,2645,202,0,"94206486",11,"TMS-94206486",1,"2"
"3",3,"27/07/2021","0:30","27-7-21 0:30",4,14.75,17.125,19.8125,2645,202,0,"94206486",11,"TMS-94206486",1,"2"
"4",4,"27/07/2021","0:45","27-7-21 0:45",4,14.6875,17.125,19.75,2645,202,0,"94206486",11,"TMS-94206486",1,"2"
"5",5,"27/07/2021","1:00","27-7-21 1:00",4,14.6875,17.125,19.75,2645,202,0,"94206486",11,"TMS-94206486",1,"2"
"6",6,"27/07/2021","1:15","27-7-21 1:15",4,14.6875,17.0625,19.625,2645,202,0,"94206486",11,"TMS-94206486",1,"2"
"7",7,"27/07/2021","1:30","27-7-21 1:30",4,14.6875,17.0625,19.75,2645,202,0,"94206486",11,"TMS-94206486",1,"2"
"8",8,"27/07/2021","1:45","27-7-21 1:45",4,14.6875,17.0625,19.75,2645,202,0,"94206486",11,"TMS-94206486",1,"2"
"9",9,"27/07/2021","2:00","27-7-21 2:00",4,14.6875,17.0625,19.75,2645,202,0,"94206486",11,"TMS-94206486",1,"2"
"10",10,"27/07/2021","2:15","27-7-21 2:15",4,14.6875,17.0625,19.6875,2645,202,0,"94206486",11,"TMS-94206486",1,"2"
"11",11,"27/07/2021","2:30","27-7-21 2:30",4,14.6875,17,19.5,2645,202,0,"94206486",11,"TMS-94206486",1,"2"
"12",12,"27/07/2021","2:45","27-7-21 2:45",4,14.6875,17.0625,19.75,2645,202,0,"94206486",11,"TMS-94206486",1,"2"
"13",13,"27/07/2021","3:00","27-7-21 3:00",4,14.6875,17.0625,19.75,2645,202,0,"94206486",11,"TMS-94206486",1,"2"
"14",14,"27/07/2021","3:15","27-7-21 3:15",4,14.6875,17.0625,19.75,2645,202,0,"94206486",11,"TMS-94206486",1,"2"
"15",15,"27/07/2021","3:30","27-7-21 3:30",4,14.6875,17.125,19.75,2645,202,0,"94206486",11,"TMS-94206486",1,"2"
