"","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","324","25-P6S1C1AA",23.7,23,25.2,25.3,100.6,1799.5,1011.73,95,787.77,43.7771603223118,NA,"25","6","1","1","AA",8609.1741609912,46679.007166476,1,"1_324_4_29",0.0989010989010998,0.692307692307699,4,29,9,0,324,0,0.8862362
"2","325","25-P6S1C2AA",28,27.2,28.3,28.5,99.4,2221.5,1314.16,95,907.34,40.8435741616025,NA,"25","6","1","2","AA",9975.50711725815,61209.9283717614,2,"2_325_4_29",0.175824175824171,0.879120879120873,4,29,9,3,325,0,0.8862362
"3","326","25-P6S1C4AA",27.2,24.5,26,25.3,100.2,2115.3,845.43,50,1269.87,60.0326194865977,NA,"25","6","1","4","AA",9147.3361692845,52181.2229087022,3,"3_326_4_29",1.61978021978021,0.992805768545343,4,29,9,6,326,0,0.8862362
"4","327","25-P6S1C1FS",23.1,23.3,24,23.5,100.3,1883.7,1202.63,96,681.07,36.1559696342305,NA,"25","6","1","1","FS",8262.78758241054,43413.2083093844,4,"4_327_4_29",0.0681318681318844,0.448018648018692,4,29,9,8,327,0,0.8862362
"5","328","25-P6S1C2FS",22.5,23.3,22,23.6,99.9,1458,928.2,70,529.8,36.3374485596708,NA,"25","6","1","2","FS",7991.51360458257,40966.4632359887,5,"5_328_4_29",0.125274725274731,0.724414715719053,4,29,9,10,328,0,0.8862362
"6","329","25-P6S1C4FS",27,27.7,21.5,22.5,99.6,1811.9,508.98,60,1302.92,71.9090457530769,NA,"25","6","1","4","FS",8691.28467577007,47814.7158181952,6,"6_329_4_29",0.246153846153849,0.927810650887573,4,29,9,13,329,0,0.8862362
"7","343","25-P6S2C2AA",20.2,20,21.4,21.5,100.5,1203.1,721.12,98,481.98,40.0615077715901,NA,"25","6","2","2","AA",7238.1123460381,34079.3108644968,7,"8_343_4_29",0.164835164835166,0.692307692307699,4,29,9,18,343,0,0.8862362
"8","344","25-P6S2C4AA",21.5,21,16.5,15.8,99.8,859.6,464.63,55,394.97,45.9481154025128,NA,"25","6","2","4","AA",6424.44812906392,27579.5537809062,8,"9_344_4_29",0.3120879120879,0.934383688600551,4,29,9,21,344,0,0.8872231
"9","345","25-P6S2C1FS",21.2,19.3,21.2,18,98.3,1360.2,838.74,100,521.46,38.3370092633436,NA,"25","6","2","1","FS",6777.02428820783,30653.3943891798,9,"10_345_4_29",0.151648351648349,0.82299049265341,4,29,9,24,345,0,0.8862362
"10","346","25-P6S2C2FS",22.5,23.2,27,22.7,100.5,1609.9,1051.21,85,558.69,34.7033977265669,NA,"25","6","2","2","FS",8425.60982297308,44924.9015917879,10,"11_346_4_29",0.195604395604389,0.704401956425081,4,29,9,26,346,0,0.8872231
