"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Code_sens","sensornumber","Serial","Plot","Subplot"
"1",1,"2021.07.25 00:00",4,13.375,14.375,14.75,1778,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"2",2,"2021.07.25 00:15",4,13.375,14.375,14.75,1779,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"3",3,"2021.07.25 00:30",4,13.375,14.3125,14.75,1779,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"4",4,"2021.07.25 00:45",4,13.375,14.25,14.625,1779,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"5",5,"2021.07.25 01:00",4,13.375,14.25,14.625,1779,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"6",6,"2021.07.25 01:15",4,13.375,14.25,14.625,1779,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"7",7,"2021.07.25 01:30",4,13.375,14.25,14.625,1779,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"8",8,"2021.07.25 01:45",4,13.3125,14.25,14.625,1779,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"9",9,"2021.07.25 02:00",4,13.3125,14.1875,14.5625,1779,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"10",10,"2021.07.25 02:15",4,13.3125,14.1875,14.5625,1779,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"11",11,"2021.07.25 02:30",4,13.25,14.1875,14.625,1779,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"12",12,"2021.07.25 02:45",4,13.25,14.1875,14.6875,1779,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"13",13,"2021.07.25 03:00",4,13.25,14.1875,14.75,1779,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"14",14,"2021.07.25 03:15",4,13.25,14.25,14.75,1779,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"15",15,"2021.07.25 03:30",4,13.25,14.25,14.75,1779,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"16",16,"2021.07.25 03:45",4,13.25,14.25,14.875,1779,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"17",17,"2021.07.25 04:00",4,13.25,14.25,14.875,1779,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"18",18,"2021.07.25 04:15",4,13.25,14.3125,15.125,1779,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"19",19,"2021.07.25 04:30",4,13.25,14.4375,15.375,1779,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"20",20,"2021.07.25 04:45",4,13.25,14.5625,15.5625,1778,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"21",21,"2021.07.25 05:00",4,13.25,14.625,15.75,1778,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"22",22,"2021.07.25 05:15",4,13.25,14.75,16,1777,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"23",23,"2021.07.25 05:30",4,13.25,14.875,16.25,1777,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"24",24,"2021.07.25 05:45",4,13.25,15,16.5,1777,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"25",25,"2021.07.25 06:00",4,13.25,15.125,16.75,1777,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"26",26,"2021.07.25 06:15",4,13.25,15.25,16.875,1777,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"27",27,"2021.07.25 06:30",4,13.25,15.375,17.0625,1777,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"28",28,"2021.07.25 06:45",4,13.25,15.4375,17.125,1776,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"29",29,"2021.07.25 07:00",4,13.25,15.5,17.25,1776,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"30",30,"2021.07.25 07:15",4,13.3125,15.625,17.375,1777,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"31",31,"2021.07.25 07:30",4,13.375,15.6875,17.5,1777,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"32",32,"2021.07.25 07:45",4,13.375,15.875,17.8125,1777,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"33",33,"2021.07.25 08:00",4,13.375,16.75,18.625,1777,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"34",34,"2021.07.25 08:15",4,13.375,16.875,18.8125,1777,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"35",35,"2021.07.25 08:30",4,13.4375,16.625,18.375,1777,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"36",36,"2021.07.25 08:45",4,13.5,16.4375,18.375,1779,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"37",37,"2021.07.25 09:00",4,13.5,16.375,18.5,1777,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"38",38,"2021.07.25 09:15",4,13.5625,16.5,18.75,1782,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"39",39,"2021.07.25 09:30",4,13.625,16.625,19,1773,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"40",40,"2021.07.25 09:45",4,13.625,16.75,19.3125,1775,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"41",41,"2021.07.25 10:00",4,13.625,16.75,19.125,1775,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"42",42,"2021.07.25 10:15",4,13.625,16.625,18.6875,1774,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"43",43,"2021.07.25 10:30",4,13.6875,16.625,18.75,1774,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"44",44,"2021.07.25 10:45",4,13.75,16.625,18.75,1774,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"45",45,"2021.07.25 11:00",4,13.75,16.625,18.9375,1774,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"46",46,"2021.07.25 11:15",4,13.75,16.6875,19,1774,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"47",47,"2021.07.25 11:30",4,13.75,16.75,19.25,1773,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"48",48,"2021.07.25 11:45",4,13.8125,16.8125,19.25,1772,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"49",49,"2021.07.25 12:00",4,13.8125,16.8125,19.125,1770,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"50",50,"2021.07.25 12:15",4,13.875,16.875,19.5625,1770,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"51",51,"2021.07.25 12:30",4,13.875,16.9375,19.5,1769,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"52",52,"2021.07.25 12:45",4,13.875,16.875,19.3125,1769,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"53",53,"2021.07.25 13:00",4,13.875,16.875,19.25,1770,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"54",54,"2021.07.25 13:15",4,13.875,16.875,19.25,1768,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"55",55,"2021.07.25 13:30",4,13.875,16.875,19.25,1770,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"56",56,"2021.07.25 13:45",4,13.875,16.875,19.1875,1770,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"57",57,"2021.07.25 14:00",4,13.9375,16.8125,19,1766,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"58",58,"2021.07.25 14:15",4,13.9375,16.75,18.875,1765,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"59",59,"2021.07.25 14:30",4,14,16.6875,18.75,1766,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
"60",60,"2021.07.25 14:45",4,14,16.625,18.6875,1770,202,0,NA,"94206496",6,"TMS-94206496",3,"5"
