"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Code_sens","sensornumber","Serial","Plot","Subplot"
"1",1,"2021.07.27 00:00",4,14.875,17.75,20,2894,202,0,NA,"94206497",7,"TMS-94206497",1,"4"
"2",2,"2021.07.27 00:15",4,14.875,17.75,20,2894,202,0,NA,"94206497",7,"TMS-94206497",1,"4"
"3",3,"2021.07.27 00:30",4,14.875,17.75,20,2893,202,0,NA,"94206497",7,"TMS-94206497",1,"4"
"4",4,"2021.07.27 00:45",4,14.875,17.75,20,2893,202,0,NA,"94206497",7,"TMS-94206497",1,"4"
"5",5,"2021.07.27 01:00",4,14.875,17.6875,19.9375,2893,202,0,NA,"94206497",7,"TMS-94206497",1,"4"
"6",6,"2021.07.27 01:15",4,14.875,17.75,19.875,2893,202,0,NA,"94206497",7,"TMS-94206497",1,"4"
"7",7,"2021.07.27 01:30",4,14.875,17.625,19.75,2893,202,0,NA,"94206497",7,"TMS-94206497",1,"4"
"8",8,"2021.07.27 01:45",4,14.875,17.625,19.75,2893,202,0,NA,"94206497",7,"TMS-94206497",1,"4"
"9",9,"2021.07.27 02:00",4,14.875,17.625,19.75,2893,202,0,NA,"94206497",7,"TMS-94206497",1,"4"
"10",10,"2021.07.27 02:15",4,14.875,17.625,19.75,2893,202,0,NA,"94206497",7,"TMS-94206497",1,"4"
"11",11,"2021.07.27 02:30",4,14.875,17.625,19.75,2892,202,0,NA,"94206497",7,"TMS-94206497",1,"4"
"12",12,"2021.07.27 02:45",4,14.875,17.625,19.8125,2892,202,0,NA,"94206497",7,"TMS-94206497",1,"4"
"13",13,"2021.07.27 03:00",4,14.875,17.625,19.875,2892,202,0,NA,"94206497",7,"TMS-94206497",1,"4"
"14",14,"2021.07.27 03:15",4,14.875,17.625,19.875,2892,202,0,NA,"94206497",7,"TMS-94206497",1,"4"
"15",15,"2021.07.27 03:30",4,14.875,17.625,19.875,2891,202,0,NA,"94206497",7,"TMS-94206497",1,"4"
"16",16,"2021.07.27 03:45",4,14.875,17.625,19.9375,2891,202,0,NA,"94206497",7,"TMS-94206497",1,"4"
"17",17,"2021.07.27 04:00",4,14.875,17.625,20,2891,202,0,NA,"94206497",7,"TMS-94206497",1,"4"
"18",18,"2021.07.27 04:15",4,14.875,17.75,20,2891,202,0,NA,"94206497",7,"TMS-94206497",1,"4"
"19",19,"2021.07.27 04:30",4,14.875,17.8125,20.125,2891,202,0,NA,"94206497",7,"TMS-94206497",1,"4"
