"","Class","Bark(%)_mean","Waterpercentage_mean","T3_mean","Soil_moist_mean","RespCorrectedArea_mean","Bark(%)_sd","Waterpercentage_sd","T3_sd","Soil_moist_sd","RespCorrectedArea_sd","Bark(%)_n","Waterpercentage_n","T3_n","Soil_moist_n","RespCorrectedArea_n"
"1",1,96.7619047619048,36.6559420046283,6.09523809523809,2489.14285714286,0.116268896895684,3.50577754435107,3.34177118402773,0.600331629581676,219.631574623114,0.106354152080257,21,21,21,21,21
"2",2,93.5555555555556,34.9129748654627,6.125,2471.14814814815,0.0931941015875409,7.8853970844522,1.64515153945463,0.821876371013773,201.973285305775,0.0612418936488357,27,27,27,27,27
"3",4,71.0869565217391,54.7778544371618,6.44565217391304,2491.91304347826,0.104638833065173,13.8954310459435,11.7060313898382,0.349667226048327,234.275461999036,0.0903203118506154,23,23,23,23,23
