"","Class","Bark(%)_mean","Waterpercentage_mean","T3_mean","Soil_moist_mean","RespCorrectedArea_mean","type_mean","Bark(%)_sd","Waterpercentage_sd","T3_sd","Soil_moist_sd","RespCorrectedArea_sd","type_sd","Bark(%)_n","Waterpercentage_n","T3_n","Soil_moist_n","RespCorrectedArea_n","type_n"
"1",1,97.6751407901735,35.8331896201313,14.3406466512702,2291.20554272517,0.0297051198592005,NA,3.13050231649263,9.32057703656817,7.91218530786031,341.637467270909,0.100919648271112,NA,433,433,433,433,433,433
"2",2,96.4435023466954,34.3320629988408,14.1733231707317,2276.70243902439,0.0284543409557538,NA,4.76097741048415,11.580219783291,7.98686167154936,344.516143807035,0.0564789249522533,NA,410,410,410,410,410,410
"3",4,76.674760005782,48.1585234575155,13.775269541779,2285.10781671159,0.0282744548478003,NA,19.9109966208306,14.8232378915416,7.93675336527506,352.014656049814,0.0580494184830082,NA,371,371,371,371,371,371
