"","Class","Bark(%)_mean","Waterpercentage_mean","T3_mean","Soil_moist_mean","RespCorrectedArea_mean","Bark(%)_sd","Waterpercentage_sd","T3_sd","Soil_moist_sd","RespCorrectedArea_sd","Bark(%)_n","Waterpercentage_n","T3_n","Soil_moist_n","RespCorrectedArea_n"
"1",1,97.0222222222222,45.4851507485159,5.40138888888889,2304.91111111111,0.00277216978966993,2.75919033651746,17.7788462076642,1.77690802982727,277.007861902069,0.00138489114197643,45,45,45,45,45
"2",2,97.8809523809524,30.9966739720644,5.19047619047619,2319.40476190476,0.00220705002693817,2.01460982063139,17.9247658602623,1.74055335661512,277.697155586213,0.00141854772592467,42,42,42,42,42
"3",4,90.3589743589744,45.1227108954583,5.93910256410256,2310.15384615385,0.00362752224176499,6.16222439113456,9.19419957810215,1.74261170516936,288.477996831423,0.00344204883055951,39,39,39,39,39
