"sample_code_combined","Q10","sample_code","Code","Class","Species","DiamClass"
"560+561",NA,560,"01-P6S5C4FS-S","4","FS",1
"560+561",NA,561,"01-P6S5C4FS-F","4","FS",1
"560+563",1,560,"01-P6S5C4FS-S","4","FS",1
"561+563",1,561,"01-P6S5C4FS-F","4","FS",1
"561+564",1,564,"01-P1S5C2AA-S","2","AA",1
"562+563",11530413.8615828,563,"01-P6S5C4FS-Sp","4","FS",1
"562+563",11530413.8615828,562,"01-P6S5C4FS-W","4","FS",1
"568+569",1.19569509727106,568,"01-P1S4C4AA-F","4","AA",1
"568+569",1.19569509727106,569,"01-P1S4C4AA-W","4","AA",1
"568+699",2.83488896577755e-05,568,"01-P1S4C4AA-F","4","AA",1
"57+58",0.863878164884061,57,"01-P1S2C4AA-S","4","AA",1
"574+575",2.25363270048754,574,"01-P1S4C2FS-S","2","FS",1
"574+575",2.25363270048754,575,"01-P1S4C2FS-F","2","FS",1
"578+579",0,578,"01-P1S4C4FS-W","4","FS",1
"578+579",0,579,"01-P1S4C4FS-F","4","FS",1
"582+587",1.30933090804376,582,"01-P1S5C2AA-F","2","AA",1
"582+587",1.30933090804376,587,"01-P1S5C2AA-W","2","AA",1
"582+589",1,589,"01-P1S5C4AA-F","4","AA",1
"583+589",2.30803674085699,583,"01-P1S5C4AA-S","4","AA",1
"583+589",2.30803674085699,589,"01-P1S5C4AA-F","4","AA",1
"584+589",1,589,"01-P1S5C4AA-F","4","AA",1
"584+592",1.93858731539965,584,"01-P1S5C1FS-S","1","FS",1
"584+592",1.93858731539965,592,"01-P1S5C1FS-F","1","FS",1
"585+595",1,585,"01-P1S5C4FS-S","4","FS",1
"586+595",2.02097980457663,586,"01-P1S5C2FS-S","2","FS",1
"586+595",2.02097980457663,595,"01-P1S5C2FS-F","2","FS",1
"590+608",3.02354028500839e+30,590,"01-P1S5C4AA-W","4","AA",1
"595+598",0.0505256015422053,595,"01-P1S5C2FS-F","2","FS",1
"596+800",5.64750526173454e+24,596,"01-P1S5C2FS-W","2","FS",1
"599+800",0,800,"01-P1S5C4FS-Sp","4","FS",1
"599+800",0,599,"01-P1S5C4FS-W","4","FS",1
"61+65",2.17840943868268,61,"01-P1S2C1FS-S","1","FS",1
"61+65",2.17840943868268,65,"01-P1S2C2FS-S","2","FS",1
"62+63",Inf,62,"01-P1S2C1FS-F","1","FS",1
"62+63",Inf,63,"01-P1S2C1FS-W","1","FS",1
"69+70",0,69,"01-P1S2C4FS-S","4","FS",1
"69+70",0,70,"01-P1S2C4FS-F","4","FS",1
"85+86",2.49475374179162,85,"01-P1S3C1FS-S","1","FS",1
"85+86",2.49475374179162,86,"01-P1S3C1FS-F","1","FS",1
"87+98",1,87,"01-P1S3C1FS-W","1","FS",1
"90+91",Inf,90,"01-P1S3C2FS-F","2","FS",1
"93+94",0,93,"01-P1S3C4FS-S","4","FS",1
"93+94",0,94,"01-P1S3C4FS-F","4","FS",1
"97+98",Inf,97,"01-P1S3C1AA-S","1","AA",1
