"","data_format","date","time","egmplotcode","RecNo","CO2 Ref","Atm_press","Flow_rate","H2O","H2O_temp","O2","Cod_err","Out_vltg","PAR","Tsoil","Tair","RH","Column18","Column19","Day","Month","Hour","Min","Ap_Code","sample_code","Data","Plot","Round","Sample_code1","Sample_code2"
"1","M3",2021-07-29,1899-12-31 09:22:11,1,1193,430,8980,397,0,0,0,0,0,0,0,0,0,NA,NA,"29","07","09","22",NA,"17+18",2021-07-29,NA,1,"17",18
"2","M3",2021-07-29,1899-12-31 09:22:16,1,1198,431,8978,397,0,0,0,0,0,0,0,0,0,NA,NA,"29","07","09","22",NA,"17+18",2021-07-29,NA,1,"17",18
"3","M3",2021-07-29,1899-12-31 09:22:21,1,1203,432,8978,399,0,0,0,0,0,0,0,0,0,NA,NA,"29","07","09","22",NA,"17+18",2021-07-29,NA,1,"17",18
"4","M3",2021-07-29,1899-12-31 09:22:26,1,1208,433,8977,399,0,0,0,0,0,0,0,0,0,NA,NA,"29","07","09","22",NA,"17+18",2021-07-29,NA,1,"17",18
"5","M3",2021-07-29,1899-12-31 09:22:31,1,1213,433,8977,399,0,0,0,0,0,0,0,0,0,NA,NA,"29","07","09","22",NA,"17+18",2021-07-29,NA,1,"17",18
"6","M3",2021-07-29,1899-12-31 09:22:36,1,1218,434,8977,399,0,0,0,0,0,0,0,0,0,NA,NA,"29","07","09","22",NA,"17+18",2021-07-29,NA,1,"17",18
"7","Start",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","M5",2021-07-29,1899-12-31 09:22:42,1,1224,434,8977,399,0,0,0,0,0,0,0,0,0,NA,NA,"29","07","09","22",NA,"17+18",2021-07-29,NA,1,"17",18
"9","M5",2021-07-29,1899-12-31 09:22:43,1,1225,435,8977,399,0,0,0,0,0,0,0,0,0,NA,NA,"29","07","09","22",NA,"17+18",2021-07-29,NA,1,"17",18
"10","M5",2021-07-29,1899-12-31 09:22:44,1,1226,435,8977,399,0,0,0,0,0,0,0,0,0,NA,NA,"29","07","09","22",NA,"17+18",2021-07-29,NA,1,"17",18
