"","Class","T3_mean","T2_mean","T1_mean","correctedArea_mean","Waterpercentage_mean","Bark(%)_mean","T3_sd","T2_sd","T1_sd","correctedArea_sd","Waterpercentage_sd","Bark(%)_sd"
"1",1,22.0027173913043,19.1807065217391,15.09375,2.71064634987204,32.2085090073825,99.3913043478261,1.13880088324993,1.43367415163545,0.848277462141826,1.5085701536957,19.305816915125,1.00505966366989
"2",2,21.8167613636364,19.0767045454545,15.0880681818182,0.907058451519342,43.2417248870145,97.8863636363636,1.21082491335374,1.47679874287447,0.861958266613102,1.94253688439542,25.4012942627531,2.50316923854271
"3",4,21.9034090909091,19.1363636363636,15.125,0.888276535956847,37.712308201791,93.25,1.2561950081576,1.43685354064065,0.839066999847186,1.0210464056799,20.5327855760907,7.06160598375238
