"","Bark(%)","Waterpercentage","Class","DiamClass","Species","T3","T2","T1","Soil_moist","correctedArea","Plot...16","SubPlot"
"497",100,40.9725433526012,1,25,"FS",22.75,19,14.75,2668,0.378828542236139,6,4
"498",80,38.6645802966647,2,25,"FS",22.75,19,14.75,2668,3.49666414659795,6,4
"499",50,71.5989159891599,4,25,"FS",22.75,19,14.75,2668,1.94008674174899,6,4
"500",94,45.2475029377203,1,25,"AA",22.4375,19,14.875,2663,2.08587734798045,6,4
"501",96,36.402842331069,2,25,"AA",22.4375,19,14.875,2663,1.58503509351549,6,4
"502",60,45.1942496493689,4,25,"AA",22.4375,19,14.875,2663,0.947021888874245,6,4
"503",100,40.9725433526012,1,25,"FS",21.375,18.625,15,2683,0.128891796761794,6,4
"504",80,38.6645802966647,2,25,"FS",22.375,18.9375,14.9375,2662,4.04440952174345,6,4
"505",80,38.6645802966647,2,25,"FS",22.375,18.9375,14.9375,2662,4.6518340461411,6,4
"506",60,45.1942496493689,4,25,"AA",20.875,18.3125,15.0625,2658,0.796288937810512,6,4
"507",100,40.9725433526012,1,25,"FS",20.875,18.3125,15.0625,2658,0,6,4
"508",80,38.6645802966647,2,25,"FS",20.625,18.25,15.0625,2657,3.98702042323355,6,4
"509",50,71.5989159891599,4,25,"FS",20.625,18.25,15.0625,2657,1.96606286561904,6,4
"510",70,61.6538164996145,4,10,"FS",21.6875,18.625,14.75,2667,132.642810295254,6,4
"511",97,43.3333333333333,1,10,"AA",21.6875,18.625,14.75,2667,39.3091502964929,6,4
"512",97,49.6153846153846,4,10,"AA",21.6875,18.625,14.75,2667,60.6872976500785,6,4
"513",98,27.8272884283247,2,10,"FS",22.0625,18.875,14.875,2686,176.874399788349,6,4
"514",92,54.6358792184725,1,10,"AA",22.0625,18.625,14.75,2666,21.3028589129001,6,4
"515",99,29.4372801875733,2,10,"FS",22.0625,18.625,14.75,2666,157.548705596621,6,4
"516",100,37.3674492218412,2,10,"AA",22.0625,18.625,14.75,2666,37.7448895829413,6,4
"517",99,37.9162462159435,1,10,"FS",22.0625,18.625,14.75,2666,157.332140229043,6,4
"518",75,45.5684870188004,4,10,"FS",22.0625,18.625,14.75,2666,83.5026801079374,6,4
"519",92,54.6358792184725,1,10,"AA",22.4375,19,14.875,2663,41.1979040540895,6,4
